"Day","views","lecture"
"2/1/2014",0,"Lecture 2"
"2/2/2014",0,"Lecture 2"
"2/3/2014",56,"Lecture 2"
"2/4/2014",5,"Lecture 2"
"2/5/2014",1,"Lecture 2"
"2/6/2014",0,"Lecture 2"
"2/7/2014",0,"Lecture 2"
"2/8/2014",3,"Lecture 2"
"2/9/2014",5,"Lecture 2"
"2/10/2014",2,"Lecture 2"
"2/11/2014",0,"Lecture 2"
"2/12/2014",1,"Lecture 2"
"2/13/2014",0,"Lecture 2"
"2/14/2014",0,"Lecture 2"
"2/15/2014",1,"Lecture 2"
"2/16/2014",0,"Lecture 2"
"2/17/2014",1,"Lecture 2"
"2/18/2014",1,"Lecture 2"
"2/19/2014",1,"Lecture 2"
"2/20/2014",4,"Lecture 2"
"2/21/2014",1,"Lecture 2"
"2/22/2014",2,"Lecture 2"
"2/23/2014",4,"Lecture 2"
"2/24/2014",0,"Lecture 2"
"2/25/2014",3,"Lecture 2"
"2/26/2014",4,"Lecture 2"
"2/27/2014",4,"Lecture 2"
"2/28/2014",2,"Lecture 2"
"3/1/2014",5,"Lecture 2"
"3/2/2014",1,"Lecture 2"
"3/3/2014",0,"Lecture 2"
"3/4/2014",0,"Lecture 2"
"2/1/2014",0,"Lecture 3"
"2/2/2014",0,"Lecture 3"
"2/3/2014",0,"Lecture 3"
"2/4/2014",0,"Lecture 3"
"2/5/2014",0,"Lecture 3"
"2/6/2014",0,"Lecture 3"
"2/7/2014",0,"Lecture 3"
"2/8/2014",0,"Lecture 3"
"2/9/2014",0,"Lecture 3"
"2/10/2014",45,"Lecture 3"
"2/11/2014",3,"Lecture 3"
"2/12/2014",6,"Lecture 3"
"2/13/2014",1,"Lecture 3"
"2/14/2014",0,"Lecture 3"
"2/15/2014",3,"Lecture 3"
"2/16/2014",5,"Lecture 3"
"2/17/2014",1,"Lecture 3"
"2/18/2014",0,"Lecture 3"
"2/19/2014",0,"Lecture 3"
"2/20/2014",5,"Lecture 3"
"2/21/2014",0,"Lecture 3"
"2/22/2014",2,"Lecture 3"
"2/23/2014",3,"Lecture 3"
"2/24/2014",1,"Lecture 3"
"2/25/2014",7,"Lecture 3"
"2/26/2014",3,"Lecture 3"
"2/27/2014",5,"Lecture 3"
"2/28/2014",5,"Lecture 3"
"3/1/2014",12,"Lecture 3"
"3/2/2014",5,"Lecture 3"
"3/3/2014",0,"Lecture 3"
"3/4/2014",0,"Lecture 3"
"2/1/2014",0,"Lecture 4"
"2/2/2014",0,"Lecture 4"
"2/3/2014",0,"Lecture 4"
"2/4/2014",0,"Lecture 4"
"2/5/2014",0,"Lecture 4"
"2/6/2014",0,"Lecture 4"
"2/7/2014",0,"Lecture 4"
"2/8/2014",0,"Lecture 4"
"2/9/2014",0,"Lecture 4"
"2/10/2014",0,"Lecture 4"
"2/11/2014",0,"Lecture 4"
"2/12/2014",0,"Lecture 4"
"2/13/2014",0,"Lecture 4"
"2/14/2014",0,"Lecture 4"
"2/15/2014",0,"Lecture 4"
"2/16/2014",0,"Lecture 4"
"2/17/2014",0,"Lecture 4"
"2/18/2014",0,"Lecture 4"
"2/19/2014",0,"Lecture 4"
"2/20/2014",30,"Lecture 4"
"2/21/2014",3,"Lecture 4"
"2/22/2014",4,"Lecture 4"
"2/23/2014",6,"Lecture 4"
"2/24/2014",5,"Lecture 4"
"2/25/2014",5,"Lecture 4"
"2/26/2014",1,"Lecture 4"
"2/27/2014",2,"Lecture 4"
"2/28/2014",0,"Lecture 4"
"3/1/2014",8,"Lecture 4"
"3/2/2014",8,"Lecture 4"
"3/3/2014",0,"Lecture 4"
"3/4/2014",0,"Lecture 4"
"2/1/2014",0,"Lecture 5"
"2/2/2014",0,"Lecture 5"
"2/3/2014",0,"Lecture 5"
"2/4/2014",0,"Lecture 5"
"2/5/2014",0,"Lecture 5"
"2/6/2014",0,"Lecture 5"
"2/7/2014",0,"Lecture 5"
"2/8/2014",0,"Lecture 5"
"2/9/2014",0,"Lecture 5"
"2/10/2014",0,"Lecture 5"
"2/11/2014",0,"Lecture 5"
"2/12/2014",0,"Lecture 5"
"2/13/2014",0,"Lecture 5"
"2/14/2014",0,"Lecture 5"
"2/15/2014",0,"Lecture 5"
"2/16/2014",0,"Lecture 5"
"2/17/2014",1,"Lecture 5"
"2/18/2014",0,"Lecture 5"
"2/19/2014",0,"Lecture 5"
"2/20/2014",0,"Lecture 5"
"2/21/2014",0,"Lecture 5"
"2/22/2014",0,"Lecture 5"
"2/23/2014",0,"Lecture 5"
"2/24/2014",44,"Lecture 5"
"2/25/2014",6,"Lecture 5"
"2/26/2014",0,"Lecture 5"
"2/27/2014",0,"Lecture 5"
"2/28/2014",1,"Lecture 5"
"3/1/2014",8,"Lecture 5"
"3/2/2014",13,"Lecture 5"
"3/3/2014",4,"Lecture 5"
"3/4/2014",2,"Lecture 5"
